TEST TYPE	UPDATE MILLISECS	NUM FIGHTER	NUM BLUE	NUM PURPLE	ALIVE
SCALAR	45	1040	16	1024	1003
SCALAR	40	1040	16	1024	995
SCALAR	39	1040	16	1024	972
SCALAR	43	1040	16	1024	972
SCALAR	31	1040	16	1024	971
SCALAR	43	1040	16	1024	970
SCALAR	36	1040	16	1024	970
SCALAR	32	1040	16	1024	970
SCALAR	26	1040	16	1024	970
SCALAR	53	1040	16	1024	969
SCALAR	41	1040	16	1024	967
SCALAR	46	1040	16	1024	966
SCALAR	33	1040	16	1024	964
SCALAR	29	1040	16	1024	963
SCALAR	32	1040	16	1024	962
SCALAR	35	1040	16	1024	960
SCALAR	34	1040	16	1024	958
SCALAR	32	1040	16	1024	957
SCALAR	32	1040	16	1024	957
SCALAR	26	1040	16	1024	956
SCALAR	49	1040	16	1024	954
SCALAR	32	1040	16	1024	954
SCALAR	33	1040	16	1024	952
SCALAR	39	1040	16	1024	951
SCALAR	26	1040	16	1024	949
SCALAR	26	1040	16	1024	948
SCALAR	30	1040	16	1024	947
SCALAR	30	1040	16	1024	947
SCALAR	28	1040	16	1024	947
SCALAR	44	1040	16	1024	946
SCALAR	31	1040	16	1024	945
SCALAR	39	1040	16	1024	945
SCALAR	26	1040	16	1024	944
SCALAR	32	1040	16	1024	944
SCALAR	36	1040	16	1024	942
SCALAR	43	1040	16	1024	941
SCALAR	32	1040	16	1024	939
SCALAR	34	1040	16	1024	938
SCALAR	35	1040	16	1024	936
SCALAR	36	1040	16	1024	936
SCALAR	33	1040	16	1024	936
SCALAR	35	1040	16	1024	936
SCALAR	38	1040	16	1024	936
SCALAR	38	1040	16	1024	933
SCALAR	49	1040	16	1024	931
SCALAR	59	1040	16	1024	931
SCALAR	48	1040	16	1024	930
SCALAR	54	1040	16	1024	930
SCALAR	46	1040	16	1024	929
SCALAR	32	1040	16	1024	928
SCALAR	47	1040	16	1024	928
SCALAR	42	1040	16	1024	927
SCALAR	29	1040	16	1024	926
SCALAR	63	1040	16	1024	925
SCALAR	33	1040	16	1024	924
SCALAR	51	1040	16	1024	921
SCALAR	45	1040	16	1024	920
SCALAR	49	1040	16	1024	920
SCALAR	41	1040	16	1024	920
SCALAR	50	1040	16	1024	920
SCALAR	50	1040	16	1024	920
SCALAR	43	1040	16	1024	919
SCALAR	35	1040	16	1024	916
SCALAR	46	1040	16	1024	916
SCALAR	42	1040	16	1024	915
SCALAR	49	1040	16	1024	915
SCALAR	32	1040	16	1024	913
SCALAR	29	1040	16	1024	913
SCALAR	31	1040	16	1024	911
SCALAR	29	1040	16	1024	911
SCALAR	27	1040	16	1024	911
SCALAR	99	1040	16	1024	910
SCALAR	34	1040	16	1024	909
SCALAR	34	1040	16	1024	909
SCALAR	35	1040	16	1024	908
SCALAR	27	1040	16	1024	908
SCALAR	42	1040	16	1024	907
SCALAR	32	1040	16	1024	907
SCALAR	41	1040	16	1024	907
SCALAR	53	1040	16	1024	907
SCALAR	40	1040	16	1024	906
SCALAR	46	1040	16	1024	906
SCALAR	48	1040	16	1024	906
SCALAR	211	1040	16	1024	906
SCALAR	34	1040	16	1024	905
SCALAR	29	1040	16	1024	904
SCALAR	39	1040	16	1024	903
SCALAR	57	1040	16	1024	903
SCALAR	38	1040	16	1024	903
SCALAR	38	1040	16	1024	902
SCALAR	45	1040	16	1024	901
SCALAR	40	1040	16	1024	901
SCALAR	37	1040	16	1024	901
SCALAR	41	1040	16	1024	901
SCALAR	35	1040	16	1024	901
SCALAR	38	1040	16	1024	901
SCALAR	36	1040	16	1024	900
SCALAR	32	1040	16	1024	899
SCALAR	41	1040	16	1024	897
SCALAR	42	1040	16	1024	895
SCALAR	40	1040	16	1024	894
SCALAR	38	1040	16	1024	894
SCALAR	47	1040	16	1024	894
SCALAR	44	1040	16	1024	893
SCALAR	55	1040	16	1024	892
SCALAR	48	1040	16	1024	890
SCALAR	49	1040	16	1024	890
SCALAR	64	1040	16	1024	890
SCALAR	50	1040	16	1024	890
SCALAR	40	1040	16	1024	890
SCALAR	42	1040	16	1024	889
SCALAR	29	1040	16	1024	888
SCALAR	40	1040	16	1024	888
SCALAR	51	1040	16	1024	888
SCALAR	51	1040	16	1024	888
SCALAR	43	1040	16	1024	887
SCALAR	39	1040	16	1024	886
SCALAR	39	1040	16	1024	884
SCALAR	35	1040	16	1024	883
SCALAR	32	1040	16	1024	883
SCALAR	33	1040	16	1024	882
SCALAR	38	1040	16	1024	881
SCALAR	33	1040	16	1024	881
